pixel	count
1885	15485
1886	14803
1887	14623
1888	14226
1889	13892
1890	13185
1891	13144
1892	12763
1893	12200
1894	11850
1895	11263
1896	12347
1897	11202
1898	10851
1899	10400
1900	10362
1901	10519
1902	10814
1903	10685
1904	10576
1905	10259
1906	10367
1907	10098
1908	10181
1909	9955
1910	10106
1911	10801
1912	9648
1913	9515
1914	9329
1915	9744
1916	9911
1917	9422
1918	9336
1919	9756
1920	9523
1921	9580
1922	9665
1923	9921
1924	10218
1925	10442
1926	9584
1927	9051
1928	9194
1929	8672
1930	7325
1931	7293
1932	7274
1933	6736
1934	6539
1935	6329
1936	6192
1937	5985
1938	5895
1939	6856
1940	7170
1941	7383
1942	6746
1943	7560
1944	7089
1945	7235
1946	8214
1947	8570
1948	8141
1949	10133
1950	11816
1951	11537
1952	11881
1953	12607
1954	14645
1955	16757
1956	16611
1957	17668
1958	17002
1959	15766
1960	13696
1961	16273
1962	16513
1963	16561
1964	16340
1965	15595
1966	16081
1967	17594
1968	16540
1969	17735
1970	17075
1971	18011
1972	18559
1973	18705
1974	19335
1975	19182
1976	18499
1977	19406
1978	19656
1979	18957
1980	21030
1981	20753
1982	20166
1983	18944
1984	19758
1985	21103
1986	25105
1987	24693
1988	23948
1989	25716
1990	25782
1991	25535
1992	24608
1993	24635
1994	24207
1995	23183
1996	22649
1997	22044
1998	21808
1999	22615
2000	21200
2001	21080
2002	20224
2003	20397
2004	19377
2005	19084
2006	18273
2007	17710
2008	17445
2009	17149
2010	16018
2011	15623
2012	14915
2013	14367
2014	14297
2015	13855
2016	13624
2017	13415
2018	12763
2019	12865
2020	11888
2021	12103
2022	11803
2023	11832
2024	11274
2025	10710
2026	10922
2027	11241
2028	11017
2029	10991
2030	10636
2031	10917
2032	10138
2033	10579
2034	10953
2035	10180
2036	10691
2037	11568
2038	10245
2039	9687
2040	9901
2041	10369
2042	10004
2043	10177
2044	10079
2045	10228
2046	10054
2047	10140
2048	10185
2049	10564
2050	10364
2051	10695
2052	11190
2053	9566
2054	9550
2055	9269
2056	8346
2057	6341
2058	6115
2059	6133
2060	6448
2061	6039
2062	6146
2063	6340
2064	6207
2065	5757
2066	5806
2067	6594
2068	7201
2069	7236
2070	8499
2071	7840
2072	8087
2073	8272
2074	8162
2075	9229
2076	10278
2077	12145
2078	12570
2079	12338
2080	13354
2081	14446
2082	18047
2083	17725
2084	18768
2085	18108
2086	16996
2087	15629
2088	15910
2089	17330
2090	17060
2091	17946
2092	15767
2093	16869
2094	18068
2095	18248
2096	18221
2097	18477
2098	19057
2099	19961
2100	19178
2101	20193
2102	20830
2103	19694
2104	20732
2105	20435
2106	21062
2107	21527
2108	22561
2109	21468
2110	21406
2111	21889
2112	22064
2113	21146
2114	27322
2115	27303
2116	26600
2117	27003
2118	27531
2119	27688
2120	27070
2121	26143
2122	26206
2123	25400
2124	24158
2125	23365
2126	24171
2127	24335
2128	23858
2129	22776
2130	22709
2131	21734
2132	21153
2133	46706
2134	19480
2135	18953
2136	18693
2137	17993
2138	17864
2139	16971
2140	16722
2141	14955
2142	14964
2143	14700
2144	14357
2145	14101
2146	14073
2147	13867
2148	12913
