tgas.parallax	xhip.Plx
7.042760960739403	7.41
17.45090404571135	16.31
2.719876717538274	2.44
3.400967078235614	1.81
3.555762763458153	4.47
5.100416336825174	4.52
9.933191592525965	12.58
5.302915154463126	4.43
5.315938328997626	3.02
4.3725628171591975	1.85
3.8669498678355265	3.14
6.729074754023996	5.06
8.07558038054191	9.49
9.713137800609227	10.21
2.335583216269761	2.03
10.606203625416313	10.47
11.903809869381206	10.86
7.115598562965392	8.
6.082013465399619	7.32
13.411961003477874	13.94
2.596280183851787	1.58
2.208572456416937	0.66
5.335884588328272	1.82
3.8515344785938543	6.67
4.830140736856744	6.3
8.717261336154394	7.9
7.2489332347601465	11.41
2.7572408263277333	1.89
7.221864981696151	7.68
3.9601089826856968	5.24
1.5221035919363333	-1.07
2.683393690827543	3.38
