name	lii	bii	distance
BH 58	275.6211	-5.6194	 4131
FSR 1688	316.9989	3.895	 1469
ESO 165 09	274.9233	-5.9213	  450
Schuster 1	281.0102	-0.2539	 5212
Loden 1	281.0212	-0.1738	  360
NGC 3960	294.3672	6.1826	 1850
NGC 5823	321.1247	2.4602	 1192
BH 87	280.7188	0.059	 1203
ASCC 66	289.2931	4.84	 1000
Saurer 3	285.0958	2.9986	 9550
Majaess 166	326.9166	-1.0844
Lynga 4	324.654	0.6565	 1100
Ruprecht 77	276.464	-3.117	 4129
Ruprecht 85	280.2023	0.0692	 1400
NGC 4230	298.0246	7.4448	 1445
FSR 1509	278.6658	-1.0822	 2080
ASCC 58	281.7116	1.3281	  600
Harvard 10	329.8356	-3.2844	 1312
Loden 46	282.5659	2.0928	  540
NGC 5593	316.3148	5.6068	  850
NGC 3105	279.9147	0.2636	 8530
BH 66	276.0027	-3.0063	 7000
BH 75	276.9907	-2.0531	 2500
Ruprecht 83	278.5052	-0.6091	 2459
NGC 5925	324.3611	1.7201	 1170
FSR 1518	279.6166	0.3768	 1819
Loden 2115	321.9462	3.2623	 1434
NGC 5749	319.5289	4.5445	 1031
Teutsch 44	282.182	2.262	 7410
ASCC 54	277.9035	-0.9036	 1200
NGC 5822	321.5732	3.5927	  933
ASCC 52	275.9642	-2.4087	 1500
BH 106	286.0484	4.6996	 1879
NGC 6067	329.7454	-2.2049	 1417
Loden 59	283.1176	3.2178	  650
NGC 3330	284.1877	3.8484	  894
Moffat 1	328.5465	-0.9811	 2100
NGC 6031	329.2813	-1.4981	 1823
Ruprecht 82	277.7307	-0.4733	 2455
FSR 1500	276.8304	-1.2041	 1380
ESO 166 04	273.8971	-3.9716	  885
ESO 168 04	283.054	3.4906	 3084
Ruprecht 79	277.0986	-0.818	 1979
NGC 6208	333.7545	-5.7649	  939
Ruprecht 78	275.7058	-1.8815	 1641
Harvard 9	325.6156	1.8991	 1478
Trumpler 23	328.851	-0.4766	 1900
NGC 2925	275.9359	-1.2537	  774
Miller 1	275.01	-1.9016	 3910
Pismis 16	277.8287	0.689	 1824
BH 72	275.5032	-1.1797	 3190
Alessi Teutsch 3	266.4551	-12.8466	  800
IC 2391	270.3622	-6.8387	  175
SAI 108	276.2745	-0.3544	 2910
NGC 2669	270.8352	-6.0925	 1046
NGC 2910	275.3143	-1.1761	 2607
BH 52	270.8096	-6.0468	  667
Teutsch 48	274.1787	-2.1691	 7900
ASCC 83	328.1023	1.106	  600
Pismis 14	275.1503	-1.145	 1314
NGC 6253	335.4598	-6.2507	 1510
NGC 5764	320.968	5.873	 2800
NGC 6152	332.9179	-3.1668	 1030
Loden 2326	327.5065	1.9857	  900
Loden 2313	327.1995	2.2703	 1076
Ruprecht 115	330.9588	-0.8494	 2160
Johansson 1	327.8995	1.8	  570
Teutsch 66	275.282	-0.4726	 5510
Hogg 18	320.7652	6.4261	 1535
FSR 1496	276.2021	0.6883	 2290
ESO 211 01	270.225	-5.4526	 3413
Ruprecht 116	332.3864	-1.6829	  900
Ruprecht 118	332.5471	-1.7984	 1343
Lynga 6	330.3692	0.3232	 1600
NGC 5800	322.4424	5.9464	 1170
Ruprecht 117	332.4911	-1.6227	  937
Pismis 22	331.4683	-0.5971	 1000
ESO 236 07	345.8269	-43.9007	 2933
NGC 3228	280.6971	4.5453	  544
Majaess 170	330.0514	0.8981
ESO 229 02	341.3529	-13.532	 2362
Ruprecht 76	273.7544	-0.9373	 1262
BH 88	278.6997	3.3735	 1770
Ruprecht 119	333.2759	-1.8794	  956
ESO 231 30	345.8711	-24.7193	 3276
Ruprecht 176	331.9091	-0.2803	 2686
BH 67	273.7589	-0.3755	 7500
Alessi 8	326.4864	4.2607	  575
ESO 226 06	333.0887	-1.1865	 1220
NGC 2866	273.1232	-0.7638	 2600
Collinder 307	334.3989	-2.3473	 1551
Mamajek 4	343.777	-16.9973	  385
ASCC 81	328.8356	2.8479	  700
Ruprecht 73	270.7326	-3.04	 1621
Collinder 213	276.8351	2.7765	 1400
SAI 109	275.3972	1.753	 7690
Lynga 12	335.6974	-3.4609	 1000
Ruprecht 87	279.3723	4.8834	 5254
FSR 1714	329.3841	2.8819	 1608
Hogg 1	274.899	1.5982	 1594
Alessi 34	264.9227	-10.4439	 1100
NGC 2972	274.6856	1.757	 2062
ESO 211 09	271.9441	-0.7966	 5823
ESO 211 03	269.2319	-3.7673	 3770
Lynga 8	333.2728	-0.0706	 1050
FSR 1715	329.5309	3.27	 1423
BH 73	273.6335	0.9508	 5557
SAI 91	267.6493	-5.4849	 3090
Pismis 11	271.6566	-0.7077	 3600
IC 4651	340.0881	-7.9068	  888
NGC 6167	335.2223	-1.4273	 1108
BH 85	276.9144	4.5436	 1501
FSR 1732	337.7319	-3.6597	 3584
BH 63	271.6313	0.3992	 2300
NGC 2547	264.4649	-8.5975	  361
NGC 6134	334.917	-0.1976	 1260
Hogg 19	335.0883	-0.3017	 3266
Collinder 205	269.2092	-1.8435	 1853
Pismis 23	334.6681	0.4295	 2600
NGC 2670	267.4854	-3.625	 1188
NGC 6193	336.7106	-1.5736	 1155
Lynga 9	334.5432	1.0698	 1700
ASCC 46	264.4407	-7.3286	  900
NGC 5460	315.7462	12.6281	  700
Ruprecht 63	265.8013	-5.0157	 3760
Ruprecht 120	336.3855	-0.4933	 2000
NGC 3909	292.457	13.3628	 1100
ESO 217 08	292.505	13.3934
IC 2395	266.6365	-3.5919	  800
Harvard 13	339.6058	-4.0333	 3612
Majaess 114	271.0115	1.4146
Pismis 15	272.4928	2.869	 2900
Muzzio 1	267.9264	-1.466	 1300
Hogg 21	337.9563	-1.4368	 1750
ESO 260 06	266.6997	-2.8415	 1711
Melotte 66	259.5592	-14.2437	 4700
Hogg 20	337.9096	-1.2291	 1777
Ruprecht 69	266.4496	-2.998	 2010
NGC 6200	337.9959	-1.069	 2054
FSR 1443	265.7209	-3.5382	 1864
FSR 1471	270.7151	2.1302	 2700
Pozzo 1	262.8027	-7.6857	  336
Patchick 94	336.4589	0.8539	 4126
Ruprecht 60	264.1027	-5.5101	 6160
NGC 2660	265.9288	-3.0127	 2826
FSR 1441	265.5403	-3.3647	 1659
Hogg 22	338.5606	-1.1433	 1216
ESO 261 03	268.9874	0.8057	 1063
Ruprecht 160	274.6338	5.9916	 2187
ESO 260 07	266.3638	-2.192	 4374
NGC 6204	338.5597	-1.0396	 1200
Alessi 9	344.288	-8.9684	  211
Ruprecht 71	266.3728	-1.8952	 1300
Ruprecht 70	266.3293	-1.9223
ESO 258 01	260.1946	-10.8698	 1031
Alessi 3	257.9214	-15.3778	  288
Teutsch 103	270.7505	3.2061	 2790
Collinder 173	261.375	-8.1627	  421
Lynga 11	338.1817	0.454	 2300
SAI 94	265.4328	-2.1804	 3910
Pismis 8	265.0825	-2.5792	 1312
NGC 2645	264.7868	-2.9082	 1668
Ruprecht 121	338.7141	0.1058	 1239
ESO 278 02	341.4183	-3.1728
ESO 260 17	267.4882	0.6495	 1366
FSR 1429	264.4835	-2.9644	 3371
ESO 275 01	333.024	5.853	 1475
Bochum 7	265.1887	-1.9577	 5754
ESO 245 09	273.7621	-67.4885	 1380
NGC 6250	340.6832	-1.9197	  865
BH 197	339.4788	-0.3346	 1633
Westerlund 1	339.5555	-0.399	 5500
NGC 6178	338.4048	1.2107	 1014
ASCC 85	339.8987	-0.211	 1200
ESO 265 01	283.3749	13.2854	 3162
ESO 252 14	250.87	-35.2581	 2180
Lynga 14	340.9189	-1.0886	  881
Moitinho 1	261.9351	-5.1121	 1146
NGC 3446	281.861	12.7895	 1485
Pismis 12	268.6397	3.2162	 1714
NGC 2659	264.1788	-1.6502	 1713
NGC 6249	341.5373	-1.1857	  981
FSR 1415	263.7368	-1.8118	 3530
NGC 6216	340.6724	0.0061	 4300
ESO 261 07	268.8953	4.0514	 3360
NGC 2220	252.4997	-23.9259	 1170
NGC 6259	341.9974	-1.5166	 1031
BH 34	262.5755	-2.9695	  950
Ruprecht 154	259.5806	-7.3023	 1783
Pismis 4	262.8633	-2.4388	  593
BH 54	264.482	-0.284	 1102
FSR 1430	264.6446	0.0765	 2840
ESO 281 24	351.2847	-16.6192	 3830
BH 200	341.1516	0.2826	 1475
FSR 1412	262.9265	-1.9156	 2644
Ruprecht 81	271.2397	7.0155	 3009
Ruprecht 65	263.0749	-1.5508	  500
NGC 6169	339.3778	2.5151	 1007
NGC 2982	270.7517	6.7012	 2624
Ruprecht 80	270.754	6.7077	 2500
ESO 277 04	340.3703	1.8692	 1790
Platais 9	266.8759	3.3779	  174
Pismis 10	265.4292	1.9601	 4767
BH 37	262.3533	-1.7845	11220
Lynga 13	341.6052	0.9092	 1139
Ruprecht 67	262.7974	-0.7922	 1504
NGC 6192	340.6473	2.1222	 1547
BH 56	264.4881	1.4634	  680
NGC 3680	286.7641	16.9184	  938
NGC 6322	345.2791	-3.0565	  996
ESO 311 14	256.9481	-8.3727	 1613
ESO 282 26	355.0152	-21.8938	 1400
Trumpler 10	262.7906	0.674	  424
ESO 309 03	251.9679	-18.0395	 1753
ESO 334 02	347.7599	-5.5093	 3210
Majaess 99	259.5993	-2.9801
Teutsch 84	344.4392	-0.4543	 2200
Teutsch 64	260.6847	-1.2982	 2980
ESO 324 15	309.3414	20.583	 2818
SAI 88	258.5217	-4.2239	 8240
NGC 2671	262.1477	0.7869	 1660
NGC 6231	343.4644	1.1841	 1243
ESO 313 03	260.4345	-1.3068	 3048
SAI 90	260.0114	-1.8521	 2740
Majaess 104	259.5006	-2.5721
Alessi 43	262.5038	1.4779	  850
Pismis 2	258.8511	-3.3379	 3310
Majaess 101	259.332	-2.5534
ESO 311 21	257.1518	-5.8473	 2330
ESO 312 03	259.2418	-2.1209	 2170
FSR 1394	259.2519	-2.105
ESO 312 04	259.4605	-1.7192	 2410
Collinder 197	261.4858	0.9913	  838
BH 211	344.9657	0.4577	 1440
ESO 335 05	352.3842	-11.3337	 7562
ESO 329 02	332.0726	12.8221	 1546
BH 202	344.2587	1.5938	 1607
Collinder 316	344.3931	1.6131	 1000
BH 217	346.7817	-1.5133	 1388
ESO 332 22	345.8001	-0.1645	 1422
ESO 332 11	344.4959	1.5704	 1841
ESO 332 08	344.3972	1.807	 1200
BH 205	344.6041	1.6167	 2160
Trumpler 24	344.7009	1.4957	 1138
NGC 6124	340.7407	6.0162	  512
ESO 332 13	344.7265	1.5972	 2910
NGC 2849	265.2743	6.3574	 6170
Ruprecht 56	257.2907	-3.5129	  410
Ruprecht 125	348.5007	-3.4028	 1500
ESO 313 12	260.5864	1.4691	 1401
Ruprecht 64	259.7564	0.5296	  800
Trumpler 29	349.9871	-5.145	  760
FSR 1390	258.6856	-0.8106	 2397
FSR 1380	256.7438	-3.4909	 2290
FSR 1758	349.1953	-3.3406	 7086
Moffat 2	347.4321	-0.6179
NGC 6268	346.0487	1.2997	 1080
Teutsch 85	347.3421	-0.3904	 1260
Saurer 2	257.9948	-1.0014	 6600
Pismis 5	259.3398	0.9181	  869
ESO 315 14	266.7948	9.2086	 1789
BH 55	261.5273	3.7486	 4108
NGC 6242	345.4684	2.4656	 1131
NGC 6318	347.9025	-0.6877	 2100
Alessi Teutsch 7	258.2955	0.2746	  900
Trumpler 25	349.1562	-1.7738	 1818
