hip	ecl_lon	ecl_lat	plx_diff	plx_diff_error	div	xhip_plx	xhip_plx_error	tgas_plx	tgas_plx_error
100179	293.897940180516	-32.75214444693785	18.323467476757678	4.396128777445879	4.168091610683772	21.57	4.39	3.246532523242323	0.23205220940081975
47693	147.21510195636242	-10.423509557906732	-4.3629613634698945	1.0472367141709524	4.166165399313606	6.51	0.98	10.872961363469894	0.36919471218799055
102652	311.76518200869884	7.806273947232053	3.323384941900582	0.7982525399085578	4.163325233241707	6.97	0.74	3.646615058099418	0.2993444796057941
61883	117.52670282299705	66.0824982597366	3.120819609720831	0.74983871206152	4.161987850881705	8.85	0.67	5.7291803902791685	0.33668693783109405
29999	258.83966324798894	-83.0159334930765	-2.0629768757839773	0.49586897268897834	4.160326597159224	-0.31	0.42	1.7529768757839772	0.26360204490030564
97243	317.92098063222306	65.58035032470261	1.818929568020632	0.4373849421486654	4.158646978300376	4.16	0.36	2.341070431979368	0.2484060941651621
86856	262.7962488721286	67.77134893681408	3.8086723779000775	0.9158852350654118	4.158460287470477	6.92	0.86	3.1113276220999224	0.3150329567058416
116282	3.339719724626205	23.007149166950388	-3.411297758937776	0.8208934200616135	4.155591548878215	2.04	0.69	5.451297758937776	0.4447089015304872
102512	308.0771621770773	-4.057840363597496	2.8427668156959003	0.6841890078886375	4.154943711341538	7.04	0.58	4.1972331843041	0.3629250590902179
43879	191.17942399236765	-71.53036131364878	3.5028973603364495	0.8431457967020997	4.154557105114875	7.75	0.73	4.2471026396635505	0.42189434044132246
20025	64.9995570293951	-7.4107972498012895	-3.5191723662218894	0.8478759296599471	4.150574680936283	4.4	0.8	7.91917236622189	0.28088003150227553
80965	253.27623940464167	-22.71667743414104	3.3792922893889332	0.814236669914889	4.150258044435859	4.61	0.72	1.230707710611067	0.3802385496423105
115430	341.76316252500794	-18.37045116323765	9.259913242908874	2.2312434344223973	4.150113385232657	22.82	2.07	13.560086757091126	0.8327948508804881
69804	209.62491141901677	19.295417936813834	5.2154823488520385	1.258183288685615	4.145248467177219	10.43	1.11	5.214517651147961	0.5923893887703843
67293	128.21406035242669	68.96229509987415	3.274339293488035	0.7902655060841766	4.143340773802246	11.43	0.6	8.155660706511965	0.5143146605984313
35694	172.24810221748686	-81.06746991676285	3.4568665756934354	0.834824929926168	4.140828156628194	7.3	0.77	3.8431334243065645	0.3225409487588069
81496	245.00645616690534	37.91291101978418	-42.17943483967137	10.19315424618987	4.138015948835244	-38.04	10.19	4.139434839671372	0.2535616032024473
10321	45.27430856238982	25.63028714059557	-3.2218566845104704	0.7790056742673953	4.135857787609082	37.25	0.55	40.47185668451047	0.551679110118191
53537	157.05282562829757	13.932402954639509	2.9198195543873773	0.7069152459717014	4.1303672130792615	20.32	0.66	17.400180445612623	0.2532373688601882
100845	347.19241844040386	70.19462364771107	2.9393788009509665	0.7121082091798786	4.127713686008749	9.01	0.67	6.070621199049033	0.24124282700501928
74432	219.23577109117727	35.65089097077135	6.054709383444152	1.4682520023323253	4.123753534016107	36.71	1.44	30.65529061655585	0.28664253409583684
36376	111.76457797091707	-7.4114718144931055	-2.4998037417399273	0.6063269773099708	4.122864123299531	2.96	0.46	5.459803741739927	0.3950093712987652
34570	107.95343702265926	-15.514790324530683	3.8193328911656144	0.927236679431468	4.119048540559704	10.36	0.88	6.540667108834385	0.2921777877989618
70038	214.9599058847753	6.8133047532865625	2.8062493325083633	0.681705109668677	4.116515033710484	9.84	0.48	7.033750667491637	0.4840680288434499
71407	223.60785721761712	-6.566512901882098	-4.585012849953875	1.1158934758379464	4.108826648091028	14.97	0.96	19.555012849953876	0.5688745462909142
15407	27.224581485937335	-57.62377015680999	-3.2345398545543205	0.7879730348531798	4.104886476422382	9.43	0.74	12.66453985455432	0.27074250433895763
103095	302.6833138402102	-26.67270417848663	-5.092016292626472	1.240985286035177	4.103204405343878	4.48	1.14	9.572016292626472	0.4903513843722787
19127	68.8313067016398	25.55809456078045	3.8420436012845762	0.9364067312416574	4.1029645271666295	10.73	0.6	6.887956398715424	0.7189280675524399
55656	176.25716942481097	-13.755784193284885	2.4740917810216327	0.6035525378416317	4.0992152727403806	14.75	0.53	12.275908218978367	0.2887484475024484
111903	334.30709463464683	-9.979043078959082	4.3107433872335275	1.0519889303734415	4.09770793472444	16.46	0.86	12.149256612766473	0.6058718590826427
10302	44.82419284431875	24.690168894696306	4.474513673152928	1.0930869867062116	4.093465321214679	7.47	1.07	2.9954863268470717	0.2234707150981209
6458	12.479299233194629	-23.36919420758785	4.115225038171506	1.0072597566585029	4.085564831680965	10.39	0.94	6.274774961828495	0.3619008391586661
7661	8.301218723997598	-38.97438302803883	2.730754463125933	0.6690801871932123	4.081356039821524	5.44	0.62	2.7092455368740676	0.25153190035163336
50506	144.5459953565398	20.3706107250815	-4.897084860796124	1.2010893798367643	4.07720269865484	20.71	1.16	25.607084860796125	0.31147343122112925
98712	341.1971100936478	72.9365000396481	2.2057651407153847	0.5412491488842784	4.07532306565712	7.23	0.47	5.024234859284616	0.2684225049580526
66267	130.6754416392194	67.9520827242614	-4.289236494302191	1.0524982684074509	4.0752907848411875	20.98	1.03	25.26923649430219	0.21645462573177396
